Type,Name,JDate,Lat,Lon,Magnitude,Origin,Depth,Duration
DM,9,2441073.3930555554,-6.0,-19.7,0,levent.1008weber,1037.0,24.0
DM,16,2441074.5145833334,7.5,6.3,0,levent.1008weber,1019.0,34.0
DM,28,2441074.6340277777,8.1,10.3,0,levent.1008weber,933.0,27.0
DM,18,2441084.167361111,23.3,32.7,0,levent.1008weber,925.0,27.0
DM,26,2441084.340277778,14.3,5.2,0,levent.1008weber,1122.0,40.0
DM,22,2441084.9006944443,21.6,43.6,0,levent.1008weber,788.0,28.0
DM,18,2441085.8798611113,23.3,32.7,0,levent.1008weber,925.0,0
DM,1,2441088.7333333334,-15.7,-36.6,0,levent.1008weber,867.0,44.0
DM,14,2441089.440972222,-29.6,-44.4,0,levent.1008weber,933.0,40.0
DM,29,2441098.184027778,53.4,60.9,0,levent.1008weber,1077.0,35.0
DM,10,2441098.5263888887,-35.7,-40.3,0,levent.1008weber,988.0,32.0
DM,9,2441099.060416667,-6.0,-19.7,0,levent.1008weber,1037.0,38.0
DM,9,2441100.3347222223,-6.0,-19.7,0,levent.1008weber,1037.0,38.0
DM,16,2441102.925,7.5,6.3,0,levent.1008weber,1019.0,43.0
DM,39,2441103.6555555556,-21.9,-12.7,0,levent.1008weber,933.0,31.0
DM,39,2441104.671527778,-21.9,-12.7,0,levent.1008weber,933.0,38.0
DM,7,2441111.49375,25.0,53.2,0,levent.1008weber,893.0,49.0
DM,18,2441111.5520833335,23.3,32.7,0,levent.1008weber,925.0,35.0
DM,18,2441111.607638889,23.3,32.7,0,levent.1008weber,925.0,55.0
DM,1,2441111.9284722223,-15.7,-36.6,0,levent.1008weber,867.0,73.0
DM,1,2441114.7763888887,-15.7,-36.6,0,levent.1008weber,867.0,47.0
DM,9,2441126.1298611113,-6.0,-19.7,0,levent.1008weber,1037.0,43.0
DM,9,2441127.515277778,-6.0,-19.7,0,levent.1008weber,1037.0,0
DM,16,2441130.6277777776,7.5,6.3,0,levent.1008weber,1019.0,36.0
DM,39,2441130.701388889,-21.9,-12.7,0,levent.1008weber,933.0,30.0
DM,39,2441131.611111111,-21.9,-12.7,0,levent.1008weber,933.0,38.0
DM,18,2441138.439583333,23.3,32.7,0,levent.1008weber,925.0,22.0
DM,7,2441138.7041666666,25.0,53.2,0,levent.1008weber,893.0,0
DM,22,2441138.722222222,21.6,43.6,0,levent.1008weber,788.0,30.0
DM,1,2441139.202777778,-15.7,-36.6,0,levent.1008weber,867.0,38.0
DM,18,2441140.293055556,23.3,32.7,0,levent.1008weber,925.0,23.0
DM,1,2441140.8069444443,-15.7,-36.6,0,levent.1008weber,867.0,23.0
DM,1,2441141.6458333335,-15.7,-36.6,0,levent.1008weber,867.0,15.0
